Label,Average Distance-to-Default (ADD),Portfolio Distance-to-Default (PDD),PDD-ADD (Spread),KBE ETF
7/23/2014,5.1949,6.2938,1.0989,32.35
7/24/2014,5.2903,6.5541,1.2638,32.68
7/25/2014,5.4077,6.5506,1.143,32.71
7/28/2014,5.1573,6.5534,1.3962,32.37
7/29/2014,5.3488,6.5377,1.1889,32.32
7/30/2014,5.3426,6.4977,1.1551,32.55
7/31/2014,4.9769,6.2472,1.2703,31.96
8/1/2014,4.758,5.799,1.041,31.49
8/4/2014,4.914,5.8651,0.9511,31.51
8/5/2014,4.85,5.7759,0.926,31.32
8/6/2014,4.9766,5.7035,0.7269,31.48
8/7/2014,4.8603,5.7438,0.8834,31.24
8/8/2014,4.8491,5.7454,0.8963,31.45
8/11/2014,4.8592,5.7581,0.8989,31.51
8/12/2014,4.9485,5.9477,0.9992,31.45
8/13/2014,5.0819,6.1374,1.0555,31.68
8/14/2014,5.2511,6.3234,1.0723,31.69
8/15/2014,5.2988,6.2924,0.9936,31.6
8/18/2014,5.1335,6.801,1.6675,32.04
8/19/2014,5.2961,6.9129,1.6169,32.05
8/20/2014,5.3707,6.9252,1.5545,32.07
8/21/2014,5.228,7.7391,2.5111,32.49
8/22/2014,5.3596,7.1332,1.7736,32.47
8/25/2014,5.4119,7.2953,1.8835,32.63
8/26/2014,5.3976,7.1239,1.7263,32.8
8/27/2014,5.4468,6.9698,1.523,32.58
8/28/2014,5.2624,6.9389,1.6766,32.45
8/29/2014,5.2973,6.8651,1.5678,32.63
9/2/2014,5.3823,6.9075,1.5252,32.88
9/3/2014,5.4382,7.013,1.5748,32.76
9/4/2014,5.3732,6.8015,1.4283,32.79
9/5/2014,5.489,6.929,1.44,32.83
9/8/2014,5.4542,6.8857,1.4316,32.91
9/9/2014,5.3141,6.8097,1.4955,32.61
9/10/2014,5.3076,6.7496,1.4421,32.97
9/11/2014,5.3937,6.7024,1.3087,33.16
9/12/2014,5.3715,6.9037,1.5323,33.31
9/15/2014,5.198,6.5322,1.3342,33.15
9/16/2014,5.2103,6.5306,1.3203,33
9/17/2014,5.2845,6.4313,1.1468,33.16
9/18/2014,5.3467,6.6102,1.2634,33.58
9/19/2014,5.2027,6.8235,1.6208,33.25
9/22/2014,5.2611,6.7204,1.4593,32.85
9/23/2014,5.1599,6.5499,1.3899,32.46
9/24/2014,5.1892,6.4501,1.2609,32.5
9/25/2014,5.006,6.3414,1.3355,32.05
9/26/2014,4.9764,6.3494,1.3729,32.18
9/29/2014,4.9434,6.186,1.2426,32.08
9/30/2014,4.9718,6.1384,1.1667,31.91
10/1/2014,4.7405,5.9328,1.1922,31.56
10/2/2014,4.7891,5.9803,1.1913,31.69
10/3/2014,4.9403,6.1521,1.2118,32.02
10/6/2014,4.8724,6.1485,1.2761,31.75
10/7/2014,4.7518,5.7133,0.9615,31.23
10/8/2014,4.7472,5.8088,1.0616,31.78
10/9/2014,4.6684,5.566,0.8976,30.97
10/10/2014,4.4329,5.3332,0.9003,30.69
10/13/2014,4.2938,5.1032,0.8094,30.66
10/14/2014,4.3762,5.0245,0.6482,30.82
10/15/2014,3.9388,4.3268,0.388,30.05
10/16/2014,4.0551,4.3117,0.2566,30.44
10/17/2014,4.3075,5.0457,0.7382,30.54
10/20/2014,4.3112,5.3463,1.0351,30.67
10/21/2014,4.6469,5.7327,1.0858,31.3
10/22/2014,4.6473,5.5697,0.9224,31.05
10/23/2014,4.6839,5.7215,1.0376,31.23
10/24/2014,4.7018,5.807,1.1052,31.32
10/27/2014,4.7252,5.7486,1.0235,31.45
10/28/2014,5.0101,5.9537,0.9437,32.09
10/29/2014,4.9398,5.794,0.8543,32.44
10/30/2014,5.1279,6.1126,0.9847,32.55
10/31/2014,5.2865,6.306,1.0195,33.06
11/3/2014,5.1094,6.1439,1.0346,32.96
11/4/2014,5.0209,6.1352,1.1143,32.81
11/5/2014,5.0208,6.1906,1.1698,33.04
11/6/2014,5.2475,6.263,1.0155,33.28
11/7/2014,5.2025,6.3139,1.1114,33.35
11/10/2014,5.21,6.2289,1.0189,33.52
11/11/2014,5.226,6.5108,1.2848,33.52
11/12/2014,5.3268,7.1364,1.8096,33.91
11/13/2014,5.3343,6.4399,1.1056,33.61
11/14/2014,5.2013,6.4988,1.2975,33.44
11/17/2014,5.2729,6.468,1.195,33.38
11/18/2014,5.4829,6.5499,1.067,33.45
11/19/2014,5.2108,5.9766,0.7658,33.22
11/20/2014,5.412,6.2696,0.8576,33.46
11/21/2014,5.5031,5.5916,0.0886,33.29
11/24/2014,5.282,6.6043,1.3223,33.59
11/25/2014,5.3481,5.9265,0.5783,33.62
11/26/2014,5.4483,6.6992,1.2508,33.7
11/28/2014,5.2435,6.505,1.2615,33.15
12/1/2014,5.0823,5.9882,0.9059,32.57
12/2/2014,5.11,6.5054,1.3954,32.89
12/3/2014,5.1542,6.0921,0.9379,33.23
12/4/2014,5.2006,6.5498,1.3492,33.2
12/5/2014,5.2925,6.4794,1.1869,33.77
12/8/2014,5.1617,6.263,1.1013,33.7
12/9/2014,5.2543,6.6485,1.3942,33.9
12/10/2014,4.8287,5.2793,0.4506,32.96
12/11/2014,4.632,5.5852,0.9531,33.06
12/12/2014,4.3148,4.8498,0.535,32.58
12/15/2014,4.3585,4.9614,0.6029,32.34
12/16/2014,4.2253,4.7252,0.4999,32.24
12/17/2014,4.4152,5.0561,0.6409,32.98
12/18/2014,4.5588,4.5571,-0.0017,33.6
12/19/2014,4.6398,4.897,0.2572,33.39
12/22/2014,4.6063,5.453,0.8467,33.36
12/23/2014,4.7577,4.6466,-0.1111,33.67
12/24/2014,4.7926,4.8611,0.0685,33.62
12/26/2014,4.6719,5.8153,1.1434,33.64
12/29/2014,4.7393,5.6758,0.9365,33.92
12/30/2014,4.701,5.5571,0.8561,33.83
12/31/2014,4.5883,5.5335,0.9451,33.55
1/2/2015,4.4746,4.8689,0.3942,33.29
1/5/2015,4.2834,5.0179,0.7345,32.4
1/6/2015,4.0538,4.3331,0.2793,31.56
1/7/2015,4.1625,4.8853,0.7228,31.76
1/8/2015,4.3081,5.3021,0.994,32.32
1/9/2015,4.1305,5.4248,1.2943,31.51
1/12/2015,4.0828,4.7152,0.6323,31.12
1/13/2015,4.0784,4.5775,0.499,30.9
1/14/2015,3.956,4.3004,0.3445,30.43
1/15/2015,3.9163,4.2715,0.3552,29.99
1/16/2015,4.0028,4.3634,0.3606,30.45
1/20/2015,3.9281,4.3362,0.408,30.22
1/21/2015,4.1518,4.4694,0.3175,30.22
1/22/2015,4.5356,5.2886,0.753,31.53
1/23/2015,4.4373,5.0731,0.6358,31.12
1/26/2015,4.5981,5.2029,0.6048,31.46
1/27/2015,4.5058,5.2225,0.7167,31.13
1/28/2015,4.4031,4.7175,0.3144,30.31
1/29/2015,4.4296,4.9159,0.4863,30.71
1/30/2015,4.3075,4.8051,0.4976,30.33
2/2/2015,4.3892,4.7939,0.4046,31.14
2/3/2015,4.5761,4.9775,0.4014,31.84
2/4/2015,4.57,5.0468,0.4768,31.67
2/5/2015,4.5885,5.2923,0.7037,32.26
2/6/2015,4.717,5.4007,0.6838,32.81
2/9/2015,4.5652,5.181,0.6158,32.52
2/10/2015,4.6515,5.2372,0.5857,32.72
2/11/2015,4.6671,5.4402,0.7731,32.56
2/12/2015,4.7907,5.6135,0.8228,33.16
2/13/2015,4.7968,5.7835,0.9866,33.26
2/17/2015,4.7409,5.8698,1.1289,33.48
2/18/2015,4.5613,5.8196,1.2583,32.92
2/19/2015,4.6572,5.7539,1.0967,32.89
2/20/2015,4.7588,6.0307,1.2719,33.17
2/23/2015,4.7418,5.6252,0.8833,33.09
2/24/2015,4.8454,5.9354,1.09,33.28
2/25/2015,4.8797,5.9499,1.0702,33.21
2/26/2015,4.9643,6.0133,1.049,33.31
2/27/2015,4.753,5.9175,1.1645,33.09
3/2/2015,4.9182,6.062,1.1437,33.38
3/3/2015,4.8806,6.0013,1.1207,33.32
3/4/2015,4.8483,5.788,0.9397,33.15
3/5/2015,4.8864,5.8903,1.004,33.29
3/6/2015,4.8061,5.9261,1.12,33.5
3/9/2015,4.8192,5.9871,1.168,33.73
3/10/2015,4.5687,5.6355,1.0669,33.04
3/11/2015,4.6492,5.6431,0.9939,33.35
3/12/2015,4.7708,6.1497,1.3789,34.15
3/13/2015,4.6385,5.8045,1.166,33.93
3/16/2015,4.661,5.7224,1.0613,33.99
3/17/2015,4.6654,5.8293,1.1639,34.14
3/18/2015,4.6219,5.908,1.2861,33.92
3/19/2015,4.6217,5.8682,1.2464,33.64
3/20/2015,4.6342,6.3393,1.7051,34.01
3/23/2015,4.667,5.9499,1.2829,33.76
3/24/2015,4.8246,5.9088,1.0842,33.6
3/25/2015,4.6269,5.5279,0.901,33.03
3/26/2015,4.6479,5.8133,1.1653,33.13
